,device_id,device_name
128,"iPad13,9",iPad Pro 12.9 inch 5th Gen
129,"iPad13,10",iPad Pro 12.9 inch 5th Gen
130,"iPad13,11",iPad Pro 12.9 inch 5th Gen
131,"iPad13,16",iPad Air 5th Gen (WiFi)
132,"iPad13,17",iPad Air 5th Gen (WiFi+Cellular)
133,,
134,"Watch1,1",Apple Watch 38mm case
135,"Watch1,2",Apple Watch 42mm case
136,"Watch2,6",Apple Watch Series 1 38mm case
137,"Watch2,7",Apple Watch Series 1 42mm case
138,"Watch2,3",Apple Watch Series 2 38mm case
139,"Watch2,4",Apple Watch Series 2 42mm case
140,"Watch3,1",Apple Watch Series 3 38mm case (GPS+Cellular)
141,"Watch3,2",Apple Watch Series 3 42mm case (GPS+Cellular)
142,"Watch3,3",Apple Watch Series 3 38mm case (GPS)
143,"Watch3,4",Apple Watch Series 3 42mm case (GPS)
144,"Watch4,1",Apple Watch Series 4 40mm case (GPS)
145,"Watch4,2",Apple Watch Series 4 44mm case (GPS)
146,"Watch4,3",Apple Watch Series 4 40mm case (GPS+Cellular)
147,"Watch4,4",Apple Watch Series 4 44mm case (GPS+Cellular)
148,"Watch5,1",Apple Watch Series 5 40mm case (GPS)
149,"Watch5,2",Apple Watch Series 5 44mm case (GPS)
150,"Watch5,3",Apple Watch Series 5 40mm case (GPS+Cellular)
151,"Watch5,4",Apple Watch Series 5 44mm case (GPS+Cellular)
152,"Watch5,9",Apple Watch SE 40mm case (GPS)
153,"Watch5,10",Apple Watch SE 44mm case (GPS)
154,"Watch5,11",Apple Watch SE 40mm case (GPS+Cellular)
155,"Watch5,12",Apple Watch SE 44mm case (GPS+Cellular)
156,"Watch6,1",Apple Watch Series 6 40mm case (GPS)
157,"Watch6,2",Apple Watch Series 6 44mm case (GPS)
158,"Watch6,3",Apple Watch Series 6 40mm case (GPS+Cellular)
159,"Watch6,4",Apple Watch Series 6 44mm case (GPS+Cellular)
160,"Watch6,6",Apple Watch Series 7 41mm case (GPS)
161,"Watch6,7",Apple Watch Series 7 45mm case (GPS)
162,"Watch6,8",Apple Watch Series 7 41mm case (GPS+Cellular)
163,"Watch6,9",Apple Watch Series 7 45mm case (GPS+Cellular)
