id,device_id,device_name
99,"iPad8,3",iPad Pro 11 inch 3rd Gen (WiFi+Cellular)
100,"iPad8,4","iPad Pro 11 inch 3rd Gen (1TB, WiFi+Cellular)"
101,"iPad8,5",iPad Pro 12.9 inch 3rd Gen (WiFi)
102,"iPad8,6","iPad Pro 12.9 inch 3rd Gen (1TB, WiFi)"
103,"iPad8,7",iPad Pro 12.9 inch 3rd Gen (WiFi+Cellular)
104,"iPad8,8","iPad Pro 12.9 inch 3rd Gen (1TB, WiFi+Cellular)"
105,"iPad8,9",iPad Pro 11 inch 4th Gen (WiFi)
106,"iPad8,10",iPad Pro 11 inch 4th Gen (WiFi+Cellular)
107,"iPad8,11",iPad Pro 12.9 inch 4th Gen (WiFi)
108,"iPad8,12",iPad Pro 12.9 inch 4th Gen (WiFi+Cellular)
109,"iPad11,1",iPad mini 5th Gen (WiFi)
110,"iPad11,2",iPad mini 5th Gen
111,"iPad11,3",iPad Air 3rd Gen (WiFi)
112,"iPad11,4",iPad Air 3rd Gen
113,"iPad11,6",iPad 8th Gen (WiFi)
114,"iPad11,7",iPad 8th Gen (WiFi+Cellular)
115,"iPad12,1",iPad 9th Gen (WiFi)
116,"iPad12,2",iPad 9th Gen (WiFi+Cellular)
117,"iPad14,1",iPad mini 6th Gen (WiFi)
118,"iPad14,2",iPad mini 6th Gen (WiFi+Cellular)
119,"iPad13,1",iPad Air 4th Gen (WiFi)
120,"iPad13,2",iPad Air 4th Gen (WiFi+Cellular)
121,"iPad13,4",iPad Pro 11 inch 5th Gen
122,"iPad13,5",iPad Pro 11 inch 5th Gen
123,"iPad13,6",iPad Pro 11 inch 5th Gen
124,"iPad13,7",iPad Pro 11 inch 5th Gen
125,"iPad13,8",iPad Pro 12.9 inch 5th Gen
126,"iPad13,9",iPad Pro 12.9 inch 5th Gen
127,"iPad13,10",iPad Pro 12.9 inch 5th Gen
128,"iPad13,11",iPad Pro 12.9 inch 5th Gen
129,"iPad13,16",iPad Air 5th Gen (WiFi)
130,"iPad13,17",iPad Air 5th Gen (WiFi+Cellular)
131,"Watch1,1",Apple Watch 38mm case
132,"Watch1,2",Apple Watch 42mm case
133,"Watch2,6",Apple Watch Series 1 38mm case
134,"Watch2,7",Apple Watch Series 1 42mm case
135,"Watch2,3",Apple Watch Series 2 38mm case
136,"Watch2,4",Apple Watch Series 2 42mm case
137,"Watch3,1",Apple Watch Series 3 38mm case (GPS+Cellular)
138,"Watch3,2",Apple Watch Series 3 42mm case (GPS+Cellular)
139,"Watch3,3",Apple Watch Series 3 38mm case (GPS)
140,"Watch3,4",Apple Watch Series 3 42mm case (GPS)
141,"Watch4,1",Apple Watch Series 4 40mm case (GPS)
142,"Watch4,2",Apple Watch Series 4 44mm case (GPS)
143,"Watch4,3",Apple Watch Series 4 40mm case (GPS+Cellular)
144,"Watch4,4",Apple Watch Series 4 44mm case (GPS+Cellular)
145,"Watch5,1",Apple Watch Series 5 40mm case (GPS)
146,"Watch5,2",Apple Watch Series 5 44mm case (GPS)
147,"Watch5,3",Apple Watch Series 5 40mm case (GPS+Cellular)
148,"Watch5,4",Apple Watch Series 5 44mm case (GPS+Cellular)
149,"Watch5,9",Apple Watch SE 40mm case (GPS)
150,"Watch5,10",Apple Watch SE 44mm case (GPS)
151,"Watch5,11",Apple Watch SE 40mm case (GPS+Cellular)
152,"Watch5,12",Apple Watch SE 44mm case (GPS+Cellular)
153,"Watch6,1",Apple Watch Series 6 40mm case (GPS)
154,"Watch6,2",Apple Watch Series 6 44mm case (GPS)
155,"Watch6,3",Apple Watch Series 6 40mm case (GPS+Cellular)
156,"Watch6,4",Apple Watch Series 6 44mm case (GPS+Cellular)
157,"Watch6,6",Apple Watch Series 7 41mm case (GPS)
158,"Watch6,7",Apple Watch Series 7 45mm case (GPS)
159,"Watch6,8",Apple Watch Series 7 41mm case (GPS+Cellular)
160,"Watch6,9",Apple Watch Series 7 45mm case (GPS+Cellular)
